,Jogador,Equipe,Minutos jogados:,Golos,Assistências,"Duelos ganhos, %",Altura,"Duelos defensivos ganhos, %","Duelos aéreos ganhos, %",Interseções/90,Golos sem ser por penálti,Golos esperados/90,Golos de cabeça,Golos de cabeça/90,Remate,"Remates à baliza, %","Golos marcados, %","Cruzamentos certos, %","Cruzamentos precisos do flanco esquerdo, %","Cruzamentos precisos do flanco direito, %",Dribles/90,"Dribles com sucesso, %","Duelos ofensivos ganhos, %","Passes certos, %","Passes para a frente certos, %","Passes para trás certos, %","Passes laterais certos, %","Passes curtos / médios precisos, %","Passes longos certos, %","Passes inteligentes certos, %","Passes certos para terço final, %","Passes precisos para a área de penálti, %","Passes em profundidade certos, %","Passes progressivos certos, %"
410,Patrick Luan,Krumovgrad,1510,4,2,35.16,179,51.49,26.8,2.09,4,0.25,0,0.0,24,29.17,16.667,20.0,27.27,11.11,4.29,50.0,33.87,71.3,59.52,95.45,68.29,76.01,50.0,12.5,70.0,54.55,10.0,66.67
411,Aloísio,América Mineiro,2388,14,6,35.52,176,44.44,33.82,1.32,8,0.49,2,0.08,83,44.58,16.867,37.93,36.36,20.0,2.45,56.92,31.94,67.04,58.68,82.47,68.97,69.8,55.56,47.37,52.27,44.9,33.33,74.63
412,Jefferson da Silva,Shanghai Jiading Huilong,1961,6,2,40.16,188,62.5,40.88,1.33,5,0.28,2,0.09,34,41.18,17.647,22.22,33.33,16.67,2.16,72.34,39.45,79.09,54.12,94.66,84.62,80.74,66.67,40.0,60.0,34.78,28.57,77.78
414,Nilson,Nong Bua Pitchaya FC,2153,14,1,33.85,184,61.4,43.3,1.21,13,0.33,2,0.08,58,37.93,22.414,80.0,100.0,66.67,1.34,28.13,19.57,77.07,71.13,87.04,75.68,77.53,61.54,50.0,71.43,63.64,50.0,64.29
415,Stenio Junior,Chiangmai,1809,7,3,45.97,184,51.92,54.9,1.99,6,0.27,0,0.0,43,44.19,16.279,47.22,50.0,42.86,1.69,55.88,38.76,78.6,59.57,90.42,84.55,82.1,57.78,50.0,71.05,63.93,33.33,86.21
416,Gustavo Coutinho,Atlético GO,2865,14,3,30.17,182,36.99,30.29,1.73,10,0.29,4,0.13,57,49.12,24.561,30.0,22.22,36.36,1.92,37.7,27.98,71.17,53.0,87.6,68.18,73.54,33.33,12.5,51.16,31.03,6.67,70.59
417,Mattheus Oliveira,Farense,1843,5,2,50.6,186,57.69,43.1,3.86,5,0.12,0,0.0,37,51.35,13.514,35.0,38.46,28.57,1.32,70.37,48.08,83.62,70.28,96.24,87.64,87.5,57.89,28.57,69.0,50.0,13.33,79.17
418,Mosquito,Chiangmai United,2159,8,1,35.88,174,62.5,30.38,1.38,5,0.35,1,0.04,56,53.57,14.286,47.06,52.63,40.0,2.33,42.86,25.68,77.45,63.41,91.89,73.13,81.89,34.48,26.67,63.64,35.85,22.73,85.07
419,Mychell Chagas,Yanbian Longding,415,0,0,46.67,183,75.0,35.14,1.08,0,0.45,0,0.0,14,42.86,0.0,0.0,0.0,0.0,0.87,75.0,37.5,83.5,61.54,97.44,76.0,86.0,0.0,33.33,60.0,0.0,0.0,66.67
420,Wander,Chanthaburi,1186,3,1,36.34,190,46.43,48.24,1.29,1,0.53,0,0.0,47,29.79,6.383,37.5,0.0,50.0,3.41,42.22,32.16,72.64,47.5,89.47,69.7,74.73,57.14,0.0,55.56,43.75,20.0,58.82
421,Yann Rolim,Ituano,1848,4,4,44.67,173,53.44,27.27,2.87,3,0.21,0,0.0,37,40.54,10.811,34.15,22.58,70.0,3.46,57.14,44.86,74.57,65.14,95.29,74.56,81.05,45.65,56.25,60.22,49.18,45.0,80.95
422,J. Fernandes,Adanaspor,1574,5,1,34.98,182,54.24,38.6,2.0,3,0.34,0,0.0,34,44.12,14.706,36.0,47.06,12.5,3.58,40.68,26.7,70.42,56.99,83.13,73.13,74.42,58.54,14.29,59.65,33.33,10.0,72.73
423,Maxuell,Birkirkara,1478,9,2,36.36,182,62.75,37.36,1.25,3,0.75,0,0.0,44,43.18,13.636,55.56,100.0,42.86,1.94,50.0,26.89,69.54,66.67,80.49,63.64,72.08,38.46,25.0,75.0,63.64,0.0,61.29
424,Matheus Souza,Floriana,1592,7,1,33.93,188,52.27,27.14,2.21,6,0.4,3,0.19,28,60.71,21.429,58.33,50.0,66.67,2.9,54.35,31.29,80.56,70.83,93.41,75.31,84.44,45.0,33.33,46.88,35.29,25.0,63.33
425,Juninho,Kitchee,1696,9,3,40.54,180,55.26,36.59,1.64,5,0.51,1,0.1,35,54.29,14.286,29.17,33.33,23.81,8.48,59.09,39.56,72.79,60.78,94.19,68.09,81.82,73.68,0.0,79.31,47.62,66.67,85.45
426,Diogo,Johor Darul Ta'zim,776,7,5,38.01,188,63.16,52.17,1.62,7,0.55,1,0.12,24,41.67,29.167,30.77,40.0,28.57,2.2,47.37,31.78,81.42,63.89,88.0,84.38,84.83,50.0,60.0,69.23,60.0,50.0,100.0
427,Vágner Love,Sport Recife,5281,28,8,30.09,172,45.0,26.06,1.28,28,0.39,4,0.07,124,50.81,22.581,28.57,31.58,12.5,2.71,45.28,31.57,75.24,59.73,90.67,79.7,77.95,56.67,38.24,68.03,54.65,35.0,75.76
428,Derley,Prachuap,3401,7,5,37.5,183,54.32,37.23,1.3,4,0.35,2,0.05,81,39.51,8.642,17.24,14.29,21.43,3.2,53.72,35.91,80.28,67.54,91.23,82.07,84.69,52.63,33.33,78.26,47.06,29.41,80.0
429,Kleiton,Tombense,2210,3,3,40.14,180,58.06,39.84,3.23,3,0.17,1,0.04,46,28.26,6.522,20.69,11.11,25.0,3.44,53.09,37.13,79.36,65.75,91.96,79.63,84.89,64.29,57.14,66.67,40.0,55.56,63.89
430,Fernando Viana,Samut Prakan City,760,2,1,40.09,178,50.0,43.53,1.66,2,0.38,1,0.12,20,25.0,10.0,20.0,50.0,0.0,1.18,50.0,29.85,71.83,52.78,86.05,72.73,75.78,44.44,100.0,50.0,41.67,100.0,73.68
431,Cristiano,Ventforet Kofu,1053,2,1,38.25,183,51.16,35.44,2.91,2,0.14,0,0.0,24,25.0,8.333,35.71,28.57,37.14,2.22,50.0,41.3,70.38,60.67,89.22,62.83,78.72,51.06,42.86,61.36,44.44,25.0,79.73
432,Leo Fernandes,Tampa Bay Rowdies,553,4,2,41.67,183,43.75,29.41,2.44,3,0.7,1,0.16,16,50.0,25.0,38.46,33.33,0.0,3.42,61.9,46.15,80.24,63.49,94.52,81.03,84.55,53.33,25.0,71.43,44.44,28.57,75.76
433,Thiago Alagoano,Floresta EC,1813,1,1,31.86,171,54.39,0.0,1.22,1,0.14,0,0.0,26,42.31,3.846,50.0,50.0,46.67,1.75,39.39,30.43,80.15,67.37,94.51,80.31,85.92,46.88,30.0,71.7,47.06,27.78,80.95
434,Lohan,Criciúma,1852,5,2,38.25,191,39.29,39.19,1.37,5,0.48,3,0.15,51,33.33,9.804,33.33,33.33,33.33,1.03,66.67,36.43,78.32,62.07,93.26,78.89,80.0,61.54,40.0,68.97,33.33,50.0,79.41
435,Gabriel Honório,Seongnam,1854,8,5,39.86,184,57.14,17.65,1.31,7,0.29,0,0.0,61,37.7,13.115,50.0,40.0,51.52,10.83,52.47,40.08,74.61,58.2,89.0,79.42,77.87,62.26,35.0,65.48,57.89,36.0,83.17
436,Fabrício,Levante,2346,3,0,38.92,186,63.11,28.57,1.46,3,0.23,0,0.0,55,32.73,5.455,26.03,28.26,22.22,7.98,50.96,38.07,66.01,54.05,86.73,60.71,74.51,67.74,16.67,64.71,39.58,41.67,65.45
437,Felipe Garcia,Operário PR,3719,15,2,37.2,185,47.13,35.19,2.19,9,0.33,5,0.14,70,41.43,15.714,26.19,33.33,24.24,1.69,51.61,35.98,72.8,61.22,84.66,75.94,75.81,73.08,40.0,58.23,44.68,25.0,75.64
438,Jhon Cley,Công An Nhân Dân,1807,11,1,42.03,183,55.0,28.57,1.2,7,0.38,1,0.05,42,50.0,26.19,15.38,12.5,20.0,2.09,61.9,45.04,78.6,66.93,95.29,78.2,82.67,61.36,37.5,67.44,51.22,43.48,94.03
439,Devid,Kelantan United,1115,4,0,38.87,180,60.0,40.51,1.94,2,0.49,0,0.0,39,43.59,10.256,0.0,0.0,0.0,2.74,50.0,34.65,79.5,62.16,97.4,70.27,81.87,33.33,50.0,46.67,50.0,50.0,57.14
440,Brandão,Hoang Anh Gia Lai,2509,2,2,41.52,183,65.79,51.81,2.2,2,0.11,1,0.04,37,35.14,5.405,31.82,20.0,44.44,3.83,47.57,32.2,72.82,62.18,85.94,63.16,77.54,47.37,14.29,62.16,51.22,16.67,66.04
441,Adler,Stal Rzeszów,934,2,1,32.42,186,45.95,41.1,1.06,1,0.34,0,0.0,25,44.0,8.0,36.36,42.86,25.0,2.99,51.61,27.82,68.34,50.94,95.92,65.38,73.3,23.08,0.0,50.0,50.0,12.5,78.95
442,Everton,PSM,3062,7,4,43.42,186,64.62,43.13,1.48,4,0.27,1,0.03,58,44.83,10.345,32.26,26.67,37.5,4.56,52.32,40.93,71.63,64.1,88.89,69.57,74.83,60.0,45.83,69.84,49.21,50.0,79.03
443,Jonata,Visakha,2137,10,0,33.59,188,57.75,36.41,2.44,6,0.43,2,0.08,41,36.59,24.39,25.0,0.0,21.43,1.39,54.55,25.24,74.93,56.25,87.74,77.78,79.03,30.0,50.0,51.61,71.43,50.0,62.96
444,David Silva,Persib,3042,20,4,38.97,185,61.43,42.53,1.39,16,0.55,1,0.03,102,39.22,19.608,18.75,28.57,11.11,4.2,48.59,37.44,72.29,54.55,84.03,77.5,74.77,61.11,35.71,65.91,48.28,30.0,68.57
445,Kelvin,Ryūkyū,1507,2,1,30.03,175,61.76,24.19,1.43,2,0.12,0,0.0,20,30.0,10.0,27.91,28.57,28.57,5.2,47.13,29.74,78.15,62.35,88.55,75.34,85.86,36.36,28.57,86.84,40.48,25.0,83.33
446,Valdeci,Tacuary,954,2,0,45.11,169,63.16,21.05,3.6,2,0.18,0,0.0,24,41.67,8.333,38.46,33.33,46.15,8.66,55.06,42.33,70.79,60.16,90.38,74.12,77.99,36.67,35.0,61.4,46.67,30.43,79.71
447,R. Ramires,FK Auda,2448,14,1,26.26,178,48.19,25.79,1.69,11,0.51,1,0.04,80,51.25,17.5,0.0,0.0,0.0,2.32,38.1,20.16,79.62,67.24,87.66,77.89,83.38,46.15,55.56,60.0,52.94,33.33,61.29
448,A. Becker,Viktoria Köln,1423,8,0,38.31,197,56.6,52.38,2.34,8,0.5,1,0.06,26,61.54,30.769,0.0,0.0,0.0,1.01,43.75,22.34,75.08,61.7,87.91,75.95,75.61,66.67,33.33,78.26,28.57,33.33,46.15
449,Marcus Índio,Imabari,2785,10,9,40.66,173,55.68,40.91,2.84,10,0.32,3,0.1,103,35.92,9.709,42.31,27.27,46.15,8.6,53.76,38.13,73.43,66.53,80.6,70.61,76.93,53.19,43.33,72.55,52.48,41.94,79.87
450,Adriano Michael Jackson,Atlético Alagoinhas,600,2,0,32.38,172,50.0,28.0,1.05,2,0.35,1,0.15,14,35.71,14.286,50.0,0.0,50.0,2.1,35.71,30.0,78.13,45.0,96.77,90.0,81.11,25.0,0.0,50.0,50.0,0.0,71.43
451,Felype Hebert,Kalamata,1155,2,0,35.47,180,61.82,33.33,1.93,2,0.32,0,0.0,21,57.14,9.524,0.0,0.0,0.0,2.68,52.0,27.56,72.0,53.7,95.0,69.44,77.02,20.0,0.0,54.55,18.18,0.0,52.94
452,Amarildo,Resende,416,0,0,31.25,188,62.5,21.05,1.08,0,0.34,0,0.0,10,60.0,0.0,0.0,0.0,0.0,1.73,37.5,23.33,84.44,62.5,100.0,86.67,84.44,0.0,0.0,80.0,50.0,0.0,40.0
456,Wellington Paulista,América Mineiro,1106,9,0,33.33,180,38.1,40.0,1.72,7,0.84,1,0.09,33,48.48,27.273,40.0,40.0,0.0,0.69,50.0,31.25,75.0,58.97,94.12,70.45,77.86,62.5,66.67,70.83,58.82,66.67,81.25
457,Bruno Lopes,Maringá,1142,3,0,30.16,175,39.66,19.51,2.36,3,0.12,0,0.0,21,47.62,14.286,20.0,33.33,14.29,1.18,53.33,27.93,68.83,60.34,83.05,63.01,72.25,40.0,28.57,56.67,41.18,14.29,65.63
458,Jô,CSA,709,2,0,34.3,190,54.55,33.66,1.9,2,0.33,1,0.13,20,40.0,10.0,0.0,0.0,0.0,2.67,33.33,34.18,65.85,75.0,80.0,66.67,69.23,0.0,0.0,50.0,50.0,0.0,33.33
459,Álvaro,América RN,854,4,0,38.33,185,42.31,41.74,1.26,4,0.49,1,0.11,28,50.0,14.286,66.67,50.0,100.0,1.05,50.0,33.33,77.5,47.37,88.57,82.86,77.78,0.0,100.0,50.0,66.67,100.0,80.0
460,Léo Passos,Primavera SP,879,2,0,39.93,183,62.07,29.55,2.97,2,0.18,1,0.1,19,42.11,10.526,0.0,0.0,0.0,3.28,40.63,39.36,63.55,51.61,87.5,50.0,72.04,25.0,0.0,36.36,30.0,0.0,42.86
461,Nicolas,Figueirense,1125,3,0,41.41,180,56.82,31.75,1.18,3,0.36,1,0.08,26,38.46,11.538,26.83,28.57,25.0,4.29,62.75,46.15,66.84,58.54,88.24,65.52,78.15,0.0,33.33,62.5,53.57,33.33,70.0
462,Douglas Rosa,Sanna Khanh Hoa,2145,12,0,38.3,184,55.0,41.67,1.93,11,0.41,0,0.0,51,43.14,23.529,18.75,17.65,20.0,3.86,57.61,34.12,81.58,75.0,94.12,73.72,86.78,64.71,50.0,64.71,31.25,50.0,80.0
463,Stefan,Southern District,1532,14,0,43.28,180,78.57,38.46,2.22,8,0.74,2,0.25,36,52.78,22.222,100.0,100.0,100.0,1.98,68.75,35.29,73.37,59.52,83.72,74.0,73.68,54.55,0.0,48.0,66.67,0.0,86.96
464,João Marcos,Santa Clara,2025,7,1,31.98,180,49.18,29.81,1.16,7,0.36,0,0.0,45,48.89,15.556,0.0,0.0,0.0,1.73,48.72,30.5,80.31,80.0,90.09,74.51,81.42,50.0,0.0,78.57,76.92,0.0,77.78
465,W. Priori,Police Tero,1896,2,1,41.61,190,47.54,49.06,3.32,2,0.13,0,0.0,37,29.73,5.405,26.09,23.81,29.17,4.08,48.84,36.32,66.2,55.17,85.71,69.18,75.13,36.51,58.33,54.74,36.92,39.29,73.79
466,D. Vinicius,Duhok,1120,3,1,39.38,194,39.53,54.84,1.37,3,0.28,2,0.16,21,47.62,14.286,20.0,25.0,0.0,2.25,46.43,29.33,74.55,52.17,91.07,77.05,77.67,33.33,0.0,40.0,50.0,0.0,58.82
467,Victor Andrade,Juventude,529,0,0,50.57,178,58.33,38.46,0.85,0,0.19,0,0.0,12,16.67,0.0,13.33,14.29,0.0,10.89,65.63,53.64,74.02,50.0,95.83,79.63,83.49,25.0,40.0,60.0,53.33,50.0,93.75
468,Erikys,Heilongjiang Ice City,3407,21,7,44.85,182,59.84,50.26,2.11,18,0.5,2,0.05,138,42.75,15.217,37.1,37.74,42.86,6.63,56.57,42.36,75.19,59.86,90.43,78.08,80.21,56.14,46.67,60.29,58.9,38.89,81.74
469,M. Cruz,Nasaf,2057,6,1,30.16,187,41.18,29.32,1.65,4,0.29,3,0.18,37,45.95,10.811,60.0,0.0,60.0,1.71,53.57,28.48,81.94,71.43,97.18,78.85,82.69,75.0,25.0,63.64,69.23,25.0,56.25
470,K. Amarante,Tirana,1427,5,2,28.66,0,48.84,25.35,0.95,4,0.34,2,0.13,30,43.33,16.667,50.0,100.0,0.0,1.39,54.55,27.23,79.08,53.85,92.94,70.0,80.87,28.57,100.0,53.33,42.86,0.0,50.0
471,Igor Henrique,Vila Nova,2321,5,1,46.48,183,53.43,45.69,3.1,5,0.18,3,0.12,49,22.45,10.204,16.67,12.5,25.0,3.1,51.25,41.67,81.99,74.12,93.1,84.88,87.06,48.57,50.0,73.83,56.25,47.06,74.8
472,Olavio,Brusque,2664,14,3,28.73,184,50.0,29.56,1.07,12,0.38,5,0.17,73,39.73,17.808,75.0,0.0,66.67,1.45,45.24,23.38,74.89,57.45,85.0,70.21,75.85,50.0,0.0,66.67,66.67,33.33,60.0
474,Gleyson Oliveira,Gyeongnam,1955,11,2,37.14,186,59.74,35.23,2.39,11,0.28,5,0.23,34,47.06,32.353,25.0,0.0,33.33,1.66,36.11,33.56,69.17,47.78,91.46,74.49,71.09,60.0,42.86,50.0,41.67,40.0,65.63
475,Thiago Henrique,Ansan Greeners,765,1,1,39.35,186,48.39,44.68,2.94,1,0.18,0,0.0,23,30.43,4.348,45.45,45.45,0.0,4.0,47.06,35.19,71.55,50.0,81.97,76.25,73.68,58.33,0.0,75.0,33.33,20.0,70.0
476,Adílio Santos,Penafiel,1286,3,1,39.38,178,46.94,27.69,2.59,3,0.3,1,0.07,23,39.13,13.043,30.0,40.0,25.0,2.38,61.76,43.54,77.03,81.58,92.42,69.35,84.57,66.67,0.0,75.0,64.0,50.0,82.5
477,Élton,Remo,878,4,0,33.33,185,50.0,36.51,1.23,4,0.46,1,0.1,25,40.0,16.0,28.57,20.0,50.0,0.92,33.33,24.53,69.34,42.31,89.47,71.79,71.43,75.0,0.0,61.54,20.0,100.0,72.73
478,Nenê Bonilha,Paysandu,1325,1,0,42.45,175,59.38,31.43,2.04,1,0.09,1,0.07,17,29.41,5.882,66.67,50.0,100.0,2.11,54.84,37.93,86.1,73.61,94.19,92.61,87.27,68.0,33.33,73.56,44.44,18.18,84.81
479,Dé,Mariehamn,2144,5,1,44.64,177,61.35,36.89,2.48,3,0.34,2,0.08,57,40.35,8.772,27.08,29.17,25.0,5.75,56.93,39.38,72.62,57.24,91.18,70.31,78.37,54.55,33.33,56.76,39.34,30.77,70.48
481,Rafael Martins,Santa Clara,1595,7,0,33.53,177,40.68,37.93,1.52,7,0.32,3,0.17,37,40.54,18.919,0.0,0.0,0.0,0.85,40.0,27.73,72.16,47.14,84.31,75.51,73.6,44.44,66.67,48.48,11.11,40.0,46.15
482,Nick Firmino,Atlanta United II,2698,17,4,42.5,180,54.76,38.82,2.97,16,0.31,5,0.17,74,47.3,22.973,18.75,16.67,20.0,4.04,52.14,39.82,88.05,77.87,95.5,92.79,91.35,47.3,46.15,72.19,63.41,39.13,73.91
483,Léo Bahia,Almazán,1864,6,0,37.77,176,61.4,27.91,1.57,4,0.22,2,0.1,30,23.33,16.667,20.0,15.0,33.33,3.65,51.39,35.57,70.61,58.9,90.0,61.96,77.65,50.0,50.0,54.17,23.08,25.0,67.74
484,Lucas Lima,Helsingborg,1402,2,1,38.13,189,43.02,48.35,2.38,2,0.34,1,0.06,32,40.63,6.25,38.46,75.0,25.0,4.17,50.77,37.56,70.4,57.14,85.96,69.81,73.3,25.0,100.0,55.0,66.67,100.0,52.17
485,Nenê,Juventude,2905,11,4,41.3,181,52.05,21.57,1.05,9,0.24,0,0.0,78,39.74,14.103,42.59,33.8,60.0,2.14,47.83,43.14,68.55,56.71,93.39,73.7,77.78,49.32,37.93,55.29,51.52,28.21,77.37
486,Matheus Alves,Lahti,2216,9,2,39.01,188,56.52,43.67,1.38,7,0.34,4,0.16,51,47.06,17.647,16.13,16.67,15.79,4.22,50.96,34.2,63.59,40.57,90.32,67.44,69.55,47.5,7.69,51.61,33.33,20.0,60.38
487,Gustavo Tocantins,Barito Putera,3283,15,4,43.41,179,47.73,43.32,1.01,12,0.4,1,0.03,67,49.25,22.388,37.04,38.1,33.33,2.41,65.91,44.31,83.77,72.5,92.75,86.04,85.96,75.0,50.0,77.94,52.78,40.0,83.33
488,Julio César,Ironi Tiberias,3185,14,4,35.92,184,55.79,44.19,0.96,13,0.45,8,0.23,90,45.56,15.556,33.33,33.33,33.33,1.07,50.0,25.95,69.73,49.25,83.9,69.1,70.9,46.15,41.67,52.17,48.0,41.67,58.7
489,Patric,Kyoto Sanga,1607,12,1,40.17,189,52.27,47.45,2.07,10,0.49,3,0.17,36,55.56,33.333,28.57,100.0,0.0,1.34,45.83,32.23,60.71,52.75,79.07,59.21,61.8,50.0,0.0,53.85,54.55,0.0,64.29
490,Magno Cruz,Jiangxi Lushan,3090,6,6,37.6,178,56.1,29.03,1.43,6,0.21,0,0.0,46,41.3,13.043,30.77,40.0,25.0,3.38,57.76,36.52,81.98,73.4,89.42,83.4,84.69,60.53,38.89,73.12,48.21,31.58,79.21
491,Éder,Criciúma,2508,9,2,40.33,179,46.03,28.41,0.89,5,0.28,1,0.04,61,39.34,13.115,44.0,55.0,36.67,2.34,63.49,45.69,80.14,78.31,94.55,75.89,85.47,74.07,75.0,80.65,65.96,75.0,84.91
492,Élder Santana,Aktobe,2630,6,6,41.9,186,53.27,45.72,1.57,6,0.26,3,0.1,61,24.59,9.836,27.27,16.67,26.67,2.19,57.81,38.38,71.99,49.32,86.75,61.9,76.45,52.63,25.0,43.59,46.15,20.0,81.48
493,Cassiano,Estoril,2602,9,2,38.55,184,48.51,36.05,1.69,7,0.34,2,0.08,45,40.0,17.778,20.0,28.57,9.09,1.65,55.81,37.82,66.78,53.52,88.3,61.76,71.91,28.57,66.67,50.0,48.39,40.0,76.32
494,Ronivaldo,Blau-Weiß Linz,2126,22,4,37.99,173,65.22,39.09,1.9,21,0.79,5,0.21,97,51.55,22.68,37.93,42.86,30.0,2.58,44.26,33.33,71.14,57.01,86.41,66.88,74.28,33.33,35.29,60.87,43.86,41.18,72.55
495,E. Paulista,Trat,2559,10,1,38.17,186,50.0,36.79,1.27,9,0.39,2,0.07,73,42.47,13.699,30.0,25.0,33.33,3.9,59.46,38.64,72.09,59.57,93.55,68.52,76.37,52.63,50.0,57.14,48.48,50.0,82.22
497,Quirino,Ituano,2389,7,0,31.3,180,48.94,27.91,1.58,7,0.24,1,0.04,60,31.67,11.667,16.0,14.29,17.65,2.67,47.89,31.11,77.73,62.67,85.92,77.06,82.23,53.85,20.0,72.41,31.58,30.0,72.73
498,Wellington,Avispa Fukuoka,1087,5,0,38.79,186,44.0,50.0,2.15,5,0.49,3,0.25,31,32.26,16.129,0.0,0.0,0.0,0.83,30.0,20.93,66.92,45.45,75.76,74.63,69.08,25.0,0.0,46.43,0.0,20.0,65.22
499,Lucas Gaúcho,Independiente Petrolero,1130,1,0,34.4,184,61.54,37.78,0.89,1,0.15,0,0.0,18,27.78,5.556,25.0,0.0,28.57,1.89,52.63,27.85,64.84,53.33,76.74,68.18,67.5,53.33,0.0,48.15,45.45,33.33,74.07
