,Jogador,Equipa,Posição,Idade,Valor de mercado,Contrato termina,Partidas jogadas,Minutos jogados:,Golos,Golos esperados,Naturalidade,País de nacionalidade,Pé,Altura,Peso,Emprestado
107,David Duarte,Bahia,"CB, RCB, LCB",28,1000000,2025-12-31,19,1668,1,0.84,Brazil,Brazil,direito,193,89,sim
108,Léo Coelho,Peñarol,"LCB, RCB",30,1000000,2025-12-31,26,2274,0,0.31,Brazil,Brazil,direito,189,88,sim
109,Jesiel,Kawasaki Frontale,RCB,29,1000000,2024-01-31,5,351,0,0.08,Brazil,Brazil,direito,186,84,sim
110,Juninho,Midtjylland,"LCB, CB",28,1000000,2026-06-30,36,2985,2,3.6,Brazil,Brazil,esquerdo,187,80,sim
111,Pepe,Porto,"RCB, LCB",40,1000000,2024-06-30,38,3466,1,1.28,Brazil,"Brazil, Portugal",direito,187,79,sim
113,Wagner Leonardo,Vitória,LCB,24,900000,2025-06-30,33,3333,5,3.61,Brazil,Brazil,esquerdo,186,76,sim
114,Raúl Silva,Universitatea Craiova,LCB,33,900000,2024-06-30,31,2472,0,2.3,Brazil,Brazil,esquerdo,187,80,sim
115,Eduardo Santos,Red Bull Bragantino,"LCB, RCB",25,900000,2026-06-30,25,2283,1,1.19,Brazil,Brazil,direito,196,90,sim
116,Fabiano,Aris,RCB,31,900000,2024-06-30,39,3719,7,6.6,Brazil,Brazil,direito,188,82,sim
117,Sabino,Sport Recife,LCB,27,900000,2024-04-06,59,5809,7,5.55,Brazil,Brazil,esquerdo,185,87,sim
118,Luiz Otávio,Mirassol,LCB,31,900000,2023-11-30,44,4313,0,3.56,Brazil,Brazil,direito,194,85,sim
119,Ricardo Graça,Júbilo Iwata,LCB,26,900000,2024-01-31,37,3497,2,1.82,Brazil,"Brazil, Portugal",esquerdo,182,70,sim
120,Alan Empereur,Cuiabá,LCB,29,900000,2024-12-31,34,3362,3,2.04,Brazil,"Brazil, Italy",esquerdo,186,82,sim
121,Gabriel,Yokohama,LCB,28,800000,2024-01-31,2,147,0,0.04,Brazil,Brazil,direito,181,78,sim
